Unnamed: 0,Model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
100,"'Tm', 'Lex', 'Luhn', 'LDA'",0.0592256867253146,0.1002541727258081,0.0627941023566715,0.0398512766531578,0.0671942325589361,0.0306446595604269,0.030977709828289,0.0556991968297772,0.032894835385444,0.0455399705581779,0.0982324974033506,0.0414467486576544
101,"'Tm', 'Lex', 'Luhn', 'Lsa'",0.0575112338316956,0.0982626383692743,0.0588209031933569,0.0360319626997046,0.064805709488204,0.0276234096650797,0.031578491577641,0.0595629772424005,0.0301554809597673,0.0410236464741429,0.0884176290296621,0.0387029851483986
102,"'Tm', 'Lex', 'Luhn', 'Lsa', 'LDA'",0.0626244756210262,0.0983067070574651,0.0637035136797166,0.0353162304092487,0.0648744110988726,0.0265522203930559,0.0332741630860644,0.059026527874404,0.0327385516100639,0.0423394386757298,0.0859795724285716,0.0404484738663965
103,"'Tm', 'Lex', 'Luhn', 'Lsa', 'Tr'",0.0551336644257769,0.0970826219877753,0.0574159493233555,0.0371841105940932,0.0660277222229447,0.0287239279716505,0.0337021044442573,0.0597166001710823,0.0336712242587807,0.039538526805514,0.0886931781690305,0.0388458381876816
104,"'Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA'",0.0513274137262213,0.0937409450709849,0.0533837198268647,0.0336792014838334,0.0586508310450031,0.0264280875595783,0.0353178434575125,0.0589320948556727,0.0342983551080888,0.0389759109092484,0.0869632256743093,0.0372983989921268
105,"'Tm', 'Lex', 'Luhn', 'Tr'",0.052432747197943,0.1026948995501579,0.0636107418989047,0.0368764757488087,0.0610106333017985,0.0308035843883502,0.0348699345567626,0.0642284878576653,0.037304692285145,0.0369931848716808,0.0936074214150332,0.0400476935855839
106,"'Tm', 'Lex', 'Luhn', 'Tr', 'LDA'",0.0531544257262815,0.0967720623772046,0.0608387014050471,0.0362447646011518,0.0574892021545063,0.0301824919307358,0.0356581179894017,0.0587004633470905,0.0369685902116113,0.0429971677691707,0.0894125544271295,0.043369338288082
107,"'Tm', 'Lex', 'Tr'",0.0545413262779987,0.1096971691450591,0.0529002533879625,0.0394982572108572,0.0656589555180122,0.0309819096151973,0.0337233162179757,0.0568192505586139,0.0337000155207574,0.0462345360384965,0.0985690264673614,0.0424938968813536
108,"'Tm', 'Lex', 'Tr', 'LDA'",0.0503958273559787,0.1007561432757398,0.0512994820802523,0.0383438298919153,0.06269182972433,0.0300731705196905,0.0329798212940678,0.0507339423640763,0.0335703785310251,0.0419416108823237,0.094794321488815,0.0383614997506688
109,"'Tm', 'Lsa'",0.0569382883788285,0.0969711686469688,0.054493016949666,0.0309521696182677,0.0571933213814191,0.0232795728190681,0.0297671887735854,0.0585755339178301,0.027312995374218,0.0401068181448258,0.0892957837949032,0.0357095969553887
110,"'Tm', 'Lsa', 'LDA'",0.0568869712675934,0.092388255462155,0.0560146617948632,0.0304214952934027,0.0527657495143252,0.0232682178111342,0.0348730524507683,0.0547069011685088,0.0322581802809064,0.0396802561239696,0.0892119487741301,0.0355003683429097
111,"'Tm', 'Lsa', 'Tr'",0.0511200918415999,0.1018001769346997,0.0491803692890187,0.0353529618970407,0.0624692740075908,0.0269694544184936,0.034794547954757,0.0575942925597753,0.0331996955227215,0.0403484152096346,0.0908417205201263,0.0372420689829077
112,"'Tm', 'Lsa', 'Tr', 'LDA'",0.0528257553238182,0.1028305567417715,0.049816433912575,0.0346412423818613,0.0593121089842801,0.0264062197165045,0.0333983179493215,0.0511867270289493,0.0322506330687218,0.0367524582450852,0.0895247653590259,0.0342807764090265
113,"'Tm', 'Luhn'",0.0598575454281317,0.0954813913770153,0.0669146868386627,0.0377611271821145,0.0638156374653296,0.0303536617692399,0.0356324230788208,0.0588343912894852,0.0367541790333893,0.0408244677016194,0.0893272056901951,0.040668080213196
114,"'Tm', 'Luhn', 'LDA'",0.0612576730973179,0.098011994828792,0.0650703480475973,0.0410567337429354,0.0666046672365761,0.0319841466021097,0.0408522553675684,0.0650004786875445,0.0388991802407744,0.0470238003719227,0.0951884639555275,0.0433351109837234
115,"'Tm', 'Luhn', 'Lsa'",0.0597517701672558,0.0995048185689503,0.060076261818147,0.0365011652757738,0.0656040635295996,0.0279065144025421,0.0312964853548665,0.0551591979929635,0.0302877669258499,0.0408625588891791,0.0870893365961577,0.0388550196082676
