,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
1872,tensor(0.2324),tensor(0.6735),tensor(0.1404),tensor(0.1277),tensor(0.3750),tensor(0.0769),tensor(0.1901),tensor(0.5510),tensor(0.1149),tensor(0.1761),tensor(0.5102),tensor(0.1064)
1873,tensor(0.3089),tensor(0.6897),tensor(0.1990),tensor(0.2179),tensor(0.4912),tensor(0.1400),tensor(0.2857),tensor(0.6379),tensor(0.1841),tensor(0.2857),tensor(0.6379),tensor(0.1841)
1874,tensor(0.1875),tensor(0.4468),tensor(0.1186),tensor(0.0180),tensor(0.0435),tensor(0.0114),tensor(0.1071),tensor(0.2553),tensor(0.0678),tensor(0.1429),tensor(0.3404),tensor(0.0904)
1875,tensor(0.2654),tensor(0.9032),tensor(0.1556),tensor(0.2201),tensor(0.7667),tensor(0.1285),tensor(0.2464),tensor(0.8387),tensor(0.1444),tensor(0.2464),tensor(0.8387),tensor(0.1444)
1876,tensor(0.3895),tensor(1.),tensor(0.2418),tensor(0.3830),tensor(1.),tensor(0.2368),tensor(0.3895),tensor(1.),tensor(0.2418),tensor(0.3895),tensor(1.),tensor(0.2418)
1877,tensor(0.4545),tensor(1.),tensor(0.2941),tensor(0.4342),tensor(0.9706),tensor(0.2797),tensor(0.2987),tensor(0.6571),tensor(0.1933),tensor(0.2987),tensor(0.6571),tensor(0.1933)
1878,tensor(0.3514),tensor(0.5417),tensor(0.2600),tensor(0.2329),tensor(0.3617),tensor(0.1717),tensor(0.2703),tensor(0.4167),tensor(0.2000),tensor(0.2703),tensor(0.4167),tensor(0.2000)
1879,tensor(0.1967),tensor(0.6383),tensor(0.1163),tensor(0.1518),tensor(0.5000),tensor(0.0895),tensor(0.1705),tensor(0.5532),tensor(0.1008),tensor(0.1836),tensor(0.5957),tensor(0.1085)
1880,tensor(0.2098),tensor(0.3261),tensor(0.1546),tensor(0.),tensor(0.),tensor(0.),tensor(0.1259),tensor(0.1957),tensor(0.0928),tensor(0.1259),tensor(0.1957),tensor(0.0928)
1881,tensor(0.2902),tensor(0.8000),tensor(0.1772),tensor(0.2408),tensor(0.6765),tensor(0.1465),tensor(0.2694),tensor(0.7429),tensor(0.1646),tensor(0.2902),tensor(0.8000),tensor(0.1772)
1882,tensor(0.1543),tensor(0.5455),tensor(0.0899),tensor(0.0324),tensor(0.1163),tensor(0.0188),tensor(0.0965),tensor(0.3409),tensor(0.0562),tensor(0.1158),tensor(0.4091),tensor(0.0674)
1883,tensor(0.2034),tensor(0.6667),tensor(0.1200),tensor(0.1552),tensor(0.5294),tensor(0.0909),tensor(0.2034),tensor(0.6667),tensor(0.1200),tensor(0.2034),tensor(0.6667),tensor(0.1200)
1884,tensor(0.3460),tensor(0.9111),tensor(0.2135),tensor(0.2638),tensor(0.7045),tensor(0.1623),tensor(0.2785),tensor(0.7333),tensor(0.1719),tensor(0.2785),tensor(0.7333),tensor(0.1719)
1885,tensor(0.1238),tensor(0.3714),tensor(0.0743),tensor(0.0288),tensor(0.0882),tensor(0.0172),tensor(0.0952),tensor(0.2857),tensor(0.0571),tensor(0.0952),tensor(0.2857),tensor(0.0571)
1886,tensor(0.3016),tensor(1.),tensor(0.1776),tensor(0.2960),tensor(1.),tensor(0.1737),tensor(0.3016),tensor(1.),tensor(0.1776),tensor(0.3016),tensor(1.),tensor(0.1776)
